keys,tr,en,es,pt_BR,de,fr
KOLAY,KOLAY,EASY,FÁCIL,FÁCIL,LEICHT,FACILE
ORTA,ORTA,MEDIUM,MEDIO,MÉDIO,MITTEL,MOYEN
ZOR,ZOR,HARD,DIFÍCIL,DIFÍCIL,SCHWER,DIFFICILE
COK ZOR,ÇOK ZOR,VERY HARD,MUY DIFÍCIL,MUITO DIFÍCIL,SEHR SCHWER,TRÈS DIFFICILE
USTA,USTA,MASTER,MAESTRO,MESTRE,MEISTER,MAÎTRE
OYNA,OYNA,PLAY,JUGAR,JOGAR,SPIELEN,JOUER
BÖLÜMLER,BÖLÜMLER,LEVELS,NIVELES,FASES,LEVELS,NIVEAUX
GERİ,GERİ,BACK,VOLVER,VOLTAR,ZURÜCK,RETOUR
AYARLAR,AYARLAR,SETTINGS,AJUSTES,CONFIGURAÇÕES,EINSTELLUNGEN,PARAMÈTRES
Yakında,Yakında,Coming soon,Próximamente,Em breve,Bald verfügbar,Bientôt disponible
TOP HAKKI BİTTİ,TOP HAKKI BİTTİ,OUT OF BALLS,SIN BOLAS,SEM BOLAS,KEINE BÄLLE MEHR,PLUS DE BALLES
BÖLÜM TAMAMLANDI,BÖLÜM TAMAMLANDI,LEVEL COMPLETE,NIVEL COMPLETADO,FASE CONCLUÍDA,LEVEL GESCHAFFT,NIVEAU TERMINÉ
BÖLÜM BAŞARISIZ,BÖLÜM BAŞARISIZ,LEVEL FAILED,NIVEL FALLIDO,FASE FRACASSADA,LEVEL FEHLGESCHLAGEN,NIVEAU ÉCHOUÉ
HEDEFİ VURAMADIN,HEDEFİ VURAMADIN,YOU MISSED THE TARGET,NO ALCANZASTE EL OBJETIVO,VOCÊ ERROU O ALVO,ZIEL VERFEHLT,VOUS AVEZ MANQUÉ LA CIBLE
Süre,Süre,Time,Tiempo,Tempo,Zeit,Temps
Top,Top,Balls,Bolas,Bolas,Bälle,Balles
SONRAKİ BÖLÜM,SONRAKİ BÖLÜM,NEXT LEVEL,SIGUIENTE NIVEL,PRÓXIMA FASE,NÄCHSTES LEVEL,NIVEAU SUIVANT
TEKRAR OYNA,TEKRAR OYNA,PLAY AGAIN,JUGAR DE NUEVO,JOGAR NOVAMENTE,NOCH MAL SPIELEN,REJOUER
TEKRAR BAŞLA,TEKRAR BAŞLA,RESTART,REINICIAR,REINICIAR,NEU STARTEN,RECOMMENCER
BÖLÜM SEÇİMİ,BÖLÜM SEÇİMİ,LEVEL SELECT,SELECCIÓN DE NIVEL,SELEÇÃO DE FASE,LEVELAUSWAHL,SÉLECTION DU NIVEAU
ANA MENÜ,ANA MENÜ,MAIN MENU,MENÚ PRINCIPAL,MENU PRINCIPAL,HAUPTMENÜ,MENU PRINCIPAL
BÖLÜM %d,BÖLÜM %d,LEVEL %d,NIVEL %d,FASE %d,LEVEL %d,NIVEAU %d
BÖLÜM 1,BÖLÜM 1,LEVEL 1,NIVEL 1,FASE 1,LEVEL 1,NIVEAU 1
%.1f sn,%.1f sn,%.1f s,%.1f s,%.1f s,%.1f s,%.1f s
TEST (bölüm bitmez),TEST (bölüm bitmez),TEST (level will not end),PRUEBA (el nivel no termina),TESTE (a fase não termina),TEST (Level endet nicht),TEST (le niveau ne se termine pas)
%s · TEST (bölüm bitmez),%s · TEST (bölüm bitmez),%s · TEST (level will not end),%s · PRUEBA (el nivel no termina),%s · TESTE (a fase não termina),%s · TEST (Level endet nicht),%s · TEST (le niveau ne se termine pas)
YENİ MEKANİK,YENİ MEKANİK,NEW MECHANIC,NUEVA MECÁNICA,NOVA MECÂNICA,NEUE MECHANIK,NOUVELLE MÉCANIQUE
YENİ ENGEL,YENİ ENGEL,NEW OBSTACLE,NUEVO OBSTÁCULO,NOVO OBSTÁCULO,NEUES HINDERNIS,NOUVEL OBSTACLE
Açıklama,Açıklama,Description,Descripción,Descrição,Beschreibung,Description
Anladım,Anladım,Got it,Entendido,Entendi,Verstanden,Compris
Metal Halka,Metal Halka,Metal Ring,Aro metálico,Anel de metal,Metallring,Anneau métallique
Mayın,Mayın,Mine,Mina,Mina,Mine,Mine
Hızlandırıcı,Hızlandırıcı,Speed Boost,Acelerador,Acelerador,Beschleuniger,Accélérateur
Kırılabilir Tuğla,Kırılabilir Tuğla,Breakable Brick,Ladrillo rompible,Tijolo quebrável,Zerbrechlicher Stein,Brique cassable
Metal halka,Metal halka,Metal ring,Aro metálico,Anel de metal,Metallring,Anneau métallique
Bomba,Bomba,Mine,Mina,Mina,Mine,Mine
Donen cark,Donen cark,Spinning wheel,Rueda giratoria,Roda giratória,Drehrad,Roue tournante
Kayan engel,Kayan engel,Sliding barrier,Barrera deslizante,Barreira deslizante,Gleitende Barriere,Barrière coulissante
Hızlandirici,Hızlandirici,Speed boost,Acelerador,Acelerador,Beschleuniger,Accélérateur
Engel,Engel,Obstacle,Obstáculo,Obstáculo,Hindernis,Obstacle
"Halka bir at nalıdır: yalnızca üst tarafı açıktır. Alttan gelen top metal gövdeye çarpıp seker.","Halka bir at nalıdır: yalnızca üst tarafı açıktır. Alttan gelen top metal gövdeye çarpıp seker.","The ring is a horseshoe: only its top is open. A ball coming from below hits the metal body and bounces off.","El aro tiene forma de herradura: solo está abierto por arriba. Una bola que llega desde abajo golpea el metal y rebota.","O anel tem formato de ferradura: apenas a parte de cima é aberta. Uma bola vinda de baixo bate no metal e quica.","Der Ring ist hufeisenförmig: Nur oben ist er offen. Ein Ball von unten trifft den Metallkörper und prallt ab.","L’anneau est en fer à cheval : seul le haut est ouvert. Une balle arrivant par dessous heurte le métal et rebondit."
Mayına dokunma. Değdiği anda atış biter ve bir top hakkın gider.,Mayına dokunma. Değdiği anda atış biter ve bir top hakkın gider.,Do not touch the mine. On contact the shot ends and you lose a ball.,No toques la mina. Al contacto termina el tiro y pierdes una bola.,Não toque na mina. Ao encostar o lançamento termina e você perde uma bola.,Berühre die Mine nicht. Bei Kontakt endet der Schuss und du verlierst einen Ball.,Ne touchez pas la mine. Au contact le tir se termine et vous perdez une balle.
